City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Pangoa,PE,64.71,overcast clouds,-12.1167,-73.0,
276,Kesova Gora,RU,61.02,scattered clouds,57.5836,37.2922,
280,Saint-Remi,CA,74.73,overcast clouds,45.2668,-73.6159,
282,Altay,CN,72.43,overcast clouds,47.8667,88.1167,
284,Buin,CL,72.43,clear sky,-33.7333,-70.75,
285,Kez,RU,61.7,overcast clouds,57.8979,53.7152,
286,Vuktyl,RU,62.31,overcast clouds,63.8567,57.3094,
287,Sucua,EC,77.74,light rain,-2.4667,-78.1667,
288,Beroroha,MG,71.51,clear sky,-21.6667,45.1667,
289,Zapolyarnyy,RU,60.08,overcast clouds,69.4154,30.8136,
290,Saurimo,AO,76.87,few clouds,-9.6608,20.3916,
291,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,
292,Ranong,TH,78.8,overcast clouds,9.9658,98.6348,
293,Dwarka,IN,83.48,overcast clouds,22.2394,68.9678,
294,Daru,PG,75.79,overcast clouds,-9.0763,143.2092,
299,Porosozero,RU,62.47,broken clouds,62.7191,32.727,
301,Dingle,PH,75.51,overcast clouds,10.9995,122.6711,
304,Guerrero Negro,MX,81.97,broken clouds,27.9769,-114.0611,
305,Dzilam Gonzalez,MX,89.94,few clouds,21.2833,-88.9333,
306,Margate,GB,79.9,scattered clouds,51.3813,1.3862,
308,Saint George,US,87.44,clear sky,37.1041,-113.5841,
310,Astana,KZ,64.35,scattered clouds,51.1801,71.446,
311,Kibala,TD,84.15,few clouds,9.1104,18.3463,
312,Mitsamiouli,KM,76.55,clear sky,-11.3847,43.2844,
314,Kyzyl-Suu,KG,60.84,clear sky,42.3414,78.0056,
315,Goderich,CA,70.92,clear sky,43.7501,-81.7165,
320,Sabang,ID,82.62,overcast clouds,5.8933,95.3214,
325,Zyryanovsk,KZ,66.74,overcast clouds,49.7386,84.2719,
326,Nakamura,JP,77.32,light rain,32.9833,132.9333,
327,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,
328,Saquarema,BR,73.44,light rain,-22.92,-42.5103,
330,Portland,US,67.6,overcast clouds,45.5234,-122.6762,
333,Yanam,IN,79.66,light rain,16.7333,82.2167,
334,Broome,US,75.47,overcast clouds,42.2506,-75.833,
336,Camacari,BR,78.57,clear sky,-12.6975,-38.3242,
337,Tezu,IN,79.47,scattered clouds,27.9167,96.1667,
338,Dongsheng,CN,67.35,clear sky,39.8161,109.9776,
341,Beidao,CN,74.8,overcast clouds,34.5686,105.8933,
343,Zmiyiv,UA,82.71,overcast clouds,49.6966,36.3611,
347,Thornbury,GB,89.06,clear sky,52.2333,-2.55,
348,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,
350,Maarianhamina,AX,67.86,clear sky,60.0973,19.9348,
351,Trinidad,BO,71.58,clear sky,-14.8333,-64.9,
354,Kununurra,AU,64.38,clear sky,-15.7667,128.7333,
355,Barra Dos Coqueiros,BR,82.42,few clouds,-10.9089,-37.0386,
356,Kaoma,ZM,68.88,clear sky,-14.7833,24.8,
361,Nur,PL,67.75,scattered clouds,52.6683,22.3221,
362,Alice Springs,AU,60.35,overcast clouds,-23.7,133.8833,
363,Huejuquilla El Alto,MX,75.87,few clouds,22.6,-103.8667,
364,Ende,ID,75.79,overcast clouds,-8.8432,121.6623,
365,Atikokan,CA,72.09,clear sky,48.7555,-91.6216,
366,Dhidhdhoo,MV,81.36,few clouds,6.8833,73.1,
367,Luanda,AO,68.7,clear sky,-8.8368,13.2343,
370,Dinar,TR,69.76,light rain,38.065,30.1656,
371,Dolinsk,RU,61.5,clear sky,47.35,142.8,
373,Prieska,ZA,65.73,broken clouds,-29.6641,22.7474,
374,Lorengau,PG,79.88,overcast clouds,-2.0226,147.2712,
375,Karasuk,RU,65.82,overcast clouds,53.7377,78.0403,
377,Mahesana,IN,81.18,overcast clouds,23.6,72.4,
378,Shetpe,KZ,88.63,clear sky,44.1667,52.1167,
379,Sidrolandia,BR,61.05,clear sky,-20.9319,-54.9614,
380,Monroe,US,78.1,broken clouds,43.1501,-77.6831,
381,Tongren,CN,79.88,overcast clouds,27.7172,109.1853,
382,Hargeysa,SO,73.4,overcast clouds,9.56,44.065,
383,Chicama,PE,61.34,broken clouds,-7.8447,-79.1469,
387,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,
389,Kamwenge,UG,75.81,overcast clouds,0.1866,30.4539,
391,Atambua,ID,70.16,broken clouds,-9.1061,124.8925,
392,Laredo,US,89.89,clear sky,27.5064,-99.5075,
393,Marystown,CA,62.85,overcast clouds,47.1666,-55.1483,
395,Sola,VU,79.21,moderate rain,-13.8833,167.55,
396,Kizner,RU,66.63,scattered clouds,56.2749,51.508,
397,San Felipe,VE,79.48,light rain,10.3399,-68.7425,
399,Caravelas,BR,79.16,clear sky,-17.7125,-39.2481,
400,Guia Lopes Da Laguna,BR,64.47,scattered clouds,-21.4578,-56.1142,
401,Huainan,CN,83.08,overcast clouds,32.6264,116.9969,
402,Touros,BR,83.08,clear sky,-5.1989,-35.4608,
405,Oranjestad,AW,87.75,few clouds,12.524,-70.027,
407,Lowicz,PL,68.61,scattered clouds,52.1071,19.9453,
408,Gavle,SE,78.39,overcast clouds,60.6745,17.1417,
411,Leshan,CN,77.52,overcast clouds,29.5623,103.7639,
412,Tyumentsevo,RU,65.5,overcast clouds,53.3224,81.498,
413,Labuhan,ID,77.94,scattered clouds,-6.8844,112.2051,
414,Orocue,CO,84.16,overcast clouds,4.7912,-71.3354,
415,Bintulu,MY,77.41,few clouds,3.1667,113.0333,
416,Pundaguitan,PH,82.38,few clouds,6.3711,126.1689,
418,Auki,SB,75.27,broken clouds,-8.7676,160.7034,
419,Mwense,ZM,73.02,broken clouds,-10.3845,28.698,
420,Kilimatinde,TZ,73.54,few clouds,-5.85,34.95,
422,Dedougou,BF,86.29,broken clouds,12.4667,-3.4667,
424,Taman,RU,80.29,scattered clouds,45.2117,36.7161,
426,Raudeberg,NO,61.95,overcast clouds,61.9875,5.1352,
427,Narasannapeta,IN,79.68,light rain,18.4167,84.05,
429,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,
430,Belmonte,BR,78.12,clear sky,-15.8631,-38.8828,
431,Skibbereen,IE,73.11,clear sky,51.55,-9.2667,
432,Vanimo,PG,76.6,overcast clouds,-2.6741,141.3028,
433,Dakar,SN,88.68,broken clouds,14.6937,-17.4441,
434,Aden,YE,86.56,broken clouds,12.7794,45.0367,
435,Maragogi,BR,79.21,clear sky,-9.0122,-35.2225,
437,Wanning,CN,81.3,overcast clouds,18.8003,110.3967,
438,Haimen,CN,76.89,scattered clouds,23.1935,116.6142,
441,Northam,GB,81.66,clear sky,51.0333,-4.2167,
444,Pafos,CY,83.98,scattered clouds,34.7667,32.4167,
445,Poya,NC,62.53,scattered clouds,-21.35,165.15,
446,El Tigre,VE,86.58,broken clouds,8.8875,-64.2454,
449,Raga,SS,72.91,light rain,8.4596,25.678,
450,The Valley,AI,89.46,few clouds,18.217,-63.0578,
451,Luqiao,CN,79.16,overcast clouds,28.5808,121.3772,
452,Shubarkuduk,KZ,79.81,broken clouds,49.1447,56.4872,
453,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,
455,Casablanca,MA,82.62,clear sky,33.5928,-7.6192,
456,Nabire,ID,74.84,broken clouds,-3.3667,135.4833,
459,Marsaxlokk,MT,86.61,few clouds,35.8419,14.5431,
462,Quatre Cocos,MU,70.09,broken clouds,-20.2078,57.7625,
463,Tadine,NC,65.48,clear sky,-21.55,167.8833,
