City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,At-Bashi,KG,2022-08-10 16:40:37,41.1702,75.8106,60.17,50,42,3.29,scattered clouds
182,Saskylakh,RU,2022-08-10 16:40:38,71.9167,114.0833,49.57,71,81,7.38,broken clouds
183,Cockburn Town,TC,2022-08-10 16:40:39,21.4612,-71.1419,81.5,77,5,16.71,clear sky
184,Abu Dhabi,AE,2022-08-10 16:36:28,24.4667,54.3667,95.11,77,39,6.91,scattered clouds
185,Torbay,CA,2022-08-10 16:40:39,47.6666,-52.7314,60.58,85,100,17.0,overcast clouds
186,Rio Grande,BR,2022-08-10 16:40:40,-32.035,-52.0986,64.51,70,77,13.38,broken clouds
187,Shache,CN,2022-08-10 16:37:13,38.4167,77.2406,86.72,50,91,10.0,overcast clouds
188,General Teran,MX,2022-08-10 16:40:40,25.2667,-99.6833,93.04,36,13,6.82,few clouds
189,Ancud,CL,2022-08-10 16:40:41,-41.8697,-73.8203,51.22,82,100,10.6,overcast clouds
190,Husavik,IS,2022-08-10 16:40:41,66.0449,-17.3389,46.33,87,94,15.46,overcast clouds
191,Mar Del Plata,AR,2022-08-10 16:40:42,-38.0023,-57.5575,57.94,56,40,13.8,scattered clouds
192,Baft,IR,2022-08-10 16:40:42,29.234,56.6057,82.24,20,54,0.47,broken clouds
193,Pisco,PE,2022-08-10 16:40:43,-13.7,-76.2167,62.02,82,100,8.05,mist
194,Sao Filipe,CV,2022-08-10 16:40:44,14.8961,-24.4956,78.98,85,60,6.53,broken clouds
195,Pueblo Nuevo Solistahuacan,MX,2022-08-10 16:40:44,17.1,-92.8833,71.01,62,76,3.94,broken clouds
196,Langenburg,DE,2022-08-10 16:40:45,49.2544,9.8458,83.68,24,0,11.5,clear sky
197,Olafsvik,IS,2022-08-10 16:40:45,64.8945,-23.7142,48.63,79,82,9.04,broken clouds
198,Yulara,AU,2022-08-10 16:40:46,-25.2406,130.9889,53.24,79,100,7.87,overcast clouds
199,Viedma,AR,2022-08-10 16:40:46,-40.8135,-62.9967,60.75,37,71,23.58,broken clouds
200,Monte Escobedo,MX,2022-08-10 16:40:47,22.3,-103.5833,67.93,46,40,5.91,scattered clouds
201,Esperance,AU,2022-08-10 16:40:48,-33.8667,121.9,57.16,67,96,22.1,overcast clouds
202,Namwala,ZM,2022-08-10 16:40:48,-15.7504,26.4384,72.45,22,0,3.65,clear sky
203,Ucluelet,CA,2022-08-10 16:40:49,48.9329,-125.5528,62.1,93,92,7.14,overcast clouds
204,Bethel,US,2022-08-10 16:40:50,41.3712,-73.414,83.89,57,40,8.05,scattered clouds
205,Tecoanapa,MX,2022-08-10 16:40:51,16.5167,-98.75,84.52,67,100,4.59,overcast clouds
206,Milazzo,IT,2022-08-10 16:40:51,38.2212,15.2383,85.26,69,61,8.99,broken clouds
207,Teya,RU,2022-08-10 16:40:51,60.3778,92.6267,59.23,98,87,3.06,moderate rain
208,Taltal,CL,2022-08-10 16:40:52,-25.4,-70.4833,64.04,61,23,3.49,few clouds
209,Mae Sai,TH,2022-08-10 16:40:53,20.4335,99.8762,72.09,98,98,2.55,light rain
210,General Mamerto Natividad,PH,2022-08-10 16:40:53,15.6025,121.0515,75.63,92,98,2.3,overcast clouds
211,Arman,RU,2022-08-10 16:40:54,59.7,150.1667,57.02,91,100,4.97,overcast clouds
212,Vienna,AT,2022-08-10 16:38:55,48.2085,16.3721,83.7,36,0,13.0,clear sky
213,Airai,TL,2022-08-10 16:40:55,-8.9266,125.4092,57.43,55,19,2.68,few clouds
214,Castro,BR,2022-08-10 16:40:41,-24.7911,-50.0119,44.74,94,96,13.22,overcast clouds
215,Vyartsilya,RU,2022-08-10 16:40:57,62.1764,30.693,68.61,100,47,4.74,scattered clouds
216,New Norfolk,AU,2022-08-10 16:40:57,-42.7826,147.0587,42.93,74,91,3.22,overcast clouds
217,Upernavik,GL,2022-08-10 16:40:58,72.7868,-56.1549,40.91,83,96,7.38,overcast clouds
218,Vilhena,BR,2022-08-10 16:40:59,-12.7406,-60.1458,73.62,46,0,16.11,clear sky
219,Cardston,CA,2022-08-10 16:41:00,49.2,-113.3019,83.84,24,99,11.39,overcast clouds
220,Tuatapere,NZ,2022-08-10 16:41:00,-46.1333,167.6833,36.91,90,96,3.62,overcast clouds
